"","words","pos","stemmed","type","pattern"
"3796","ruthlessly","anypos","n","strongsubj","^ruthlessly$"
"3802","sad","anypos","y","strongsubj","^sad$"
"3804","sadly","anypos","n","strongsubj","^sadly$"
"3824","savagely","anypos","n","strongsubj","^savagely$"
"3831","scandalous","anypos","n","strongsubj","^scandalous$"
"3832","scandalously","anypos","n","strongsubj","^scandalously$"
"3840","scarcely","anypos","n","strongsubj","^scarcely$"
"3846","scarily","anypos","n","strongsubj","^scarily$"
"3850","scary","anypos","n","strongsubj","^scary$"
"3852","scathingly","anypos","n","strongsubj","^scathingly$"
"3855","scheming","anypos","n","strongsubj","^scheming$"
"3857","scoffingly","anypos","n","strongsubj","^scoffingly$"
"3860","scoldingly","anypos","n","strongsubj","^scoldingly$"
"3861","scorching","anypos","n","strongsubj","^scorching$"
"3862","scorchingly","anypos","n","strongsubj","^scorchingly$"
"3864","scornful","anypos","n","strongsubj","^scornful$"
"3865","scornfully","anypos","n","strongsubj","^scornfully$"
"3894","self-interested","anypos","n","strongsubj","^self-interested$"
"3897","selfinterested","anypos","n","strongsubj","^selfinterested$"
"3898","selfish","anypos","n","strongsubj","^selfish$"
"3899","selfishly","anypos","n","strongsubj","^selfishly$"
"3902","sensationalize","anypos","y","strongsubj","^sensationalize$"
"3904","senselessly","anypos","n","strongsubj","^senselessly$"
"3905","serious","anypos","n","strongsubj","^serious$"
"3906","seriously","anypos","n","strongsubj","^seriously$"
"3914","severe","anypos","n","strongsubj","^severe$"
"3915","severely","anypos","n","strongsubj","^severely$"
"3930","shamefully","anypos","n","strongsubj","^shamefully$"
"3934","shamelessly","anypos","n","strongsubj","^shamelessly$"
"3942","shirker","anypos","n","strongsubj","^shirker$"
"3949","shockingly","anypos","n","strongsubj","^shockingly$"
"3956","shortsighted","anypos","n","strongsubj","^shortsighted$"
"3957","shortsightedness","anypos","n","strongsubj","^shortsightedness$"
"3966","shrilly","anypos","n","strongsubj","^shrilly$"
"3981","sickening","anypos","n","strongsubj","^sickening$"
"3982","sickeningly","anypos","n","strongsubj","^sickeningly$"
"3987","sillily","anypos","n","strongsubj","^sillily$"
"3988","silly","anypos","n","strongsubj","^silly$"
"3992","simplistically","anypos","n","strongsubj","^simplistically$"
"3998","sinisterly","anypos","n","strongsubj","^sinisterly$"
"4005","skeptically","anypos","n","strongsubj","^skeptically$"
"4011","skittish","anypos","y","strongsubj","^skittish$"
"4012","skittishly","anypos","n","strongsubj","^skittishly$"
"4020","slanderously","anypos","n","strongsubj","^slanderously$"
"4056","smelling","anypos","y","weaksubj","^smelling$"
"4063","smouldering","anypos","n","strongsubj","^smouldering$"
"4080","sneering","anypos","n","strongsubj","^sneering$"
"4081","sneeringly","anypos","n","strongsubj","^sneeringly$"
"4084","so-called","anypos","n","strongsubj","^so-called$"
"4094","sorely","anypos","n","strongsubj","^sorely$"
"4098","sorrowful","anypos","n","strongsubj","^sorrowful$"
"4099","sorrowfully","anypos","n","strongsubj","^sorrowfully$"
"4101","sounding","anypos","n","weaksubj","^sounding$"
"4113","spitefully","anypos","n","strongsubj","^spitefully$"
"4122","spookily","anypos","n","strongsubj","^spookily$"
"4124","spooky","anypos","n","strongsubj","^spooky$"
"4125","spoon-fed","anypos","n","strongsubj","^spoon-fed$"
"4127","spoonfed","anypos","n","strongsubj","^spoonfed$"
"4135","squabbling","anypos","n","strongsubj","^squabbling$"
"4142","staggeringly","anypos","n","strongsubj","^staggeringly$"
"4157","starkly","anypos","n","strongsubj","^starkly$"
"4159","startling","anypos","n","strongsubj","^startling$"
"4160","startlingly","anypos","n","strongsubj","^startlingly$"
"4168","stench","anypos","n","strongsubj","^stench$"
"4170","stereotypical","anypos","n","strongsubj","^stereotypical$"
"4171","stereotypically","anypos","n","strongsubj","^stereotypically$"
"4178","stifling","anypos","n","strongsubj","^stifling$"
"4179","stiflingly","anypos","n","strongsubj","^stiflingly$"
"4190","stinking","anypos","n","strongsubj","^stinking$"
"4195","stooge","anypos","n","strongsubj","^stooge$"
"4206","strange","anypos","y","strongsubj","^strange$"
"4207","strangely","anypos","y","strongsubj","^strangely$"
"4208","stranger","anypos","y","strongsubj","^stranger$"
"4209","strangest","anypos","y","strongsubj","^strangest$"
"4233","stumble","anypos","y","weaksubj","^stumble$"
"4238","stupid","anypos","n","strongsubj","^stupid$"
"4240","stupidly","anypos","n","strongsubj","^stupidly$"
"4247","subjected","anypos","n","weaksubj","^subjected$"
"4274","sugar-coated","anypos","n","strongsubj","^sugar-coated$"
"4275","sugarcoated","anypos","n","strongsubj","^sugarcoated$"
"4291","supposed","anypos","y","weaksubj","^supposed$"
"4307","suspicious","anypos","n","strongsubj","^suspicious$"
"4308","suspicious","anypos","y","strongsubj","^suspicious$"
"4309","suspiciously","anypos","n","strongsubj","^suspiciously$"
"4311","swamped","anypos","n","strongsubj","^swamped$"
"4320","sympathetically","anypos","n","strongsubj","^sympathetically$"
"4332","tainted","anypos","n","strongsubj","^tainted$"
"4338","tattered","anypos","n","strongsubj","^tattered$"
"4341","taunting","anypos","n","strongsubj","^taunting$"
"4342","tauntingly","anypos","n","strongsubj","^tauntingly$"
"4346","teasingly","anypos","n","strongsubj","^teasingly$"
"4347","taxing","anypos","n","weaksubj","^taxing$"
"4364","terrible","anypos","y","strongsubj","^terrible$"
"4366","terribly","anypos","n","strongsubj","^terribly$"
"4372","thankless","anypos","n","strongsubj","^thankless$"
"4378","thoughtlessly","anypos","n","strongsubj","^thoughtlessly$"
"4404","tiringly","anypos","n","strongsubj","^tiringly$"
"4408","too","anypos","y","weaksubj","^too$"
"4419","torturously","anypos","n","strongsubj","^torturously$"
"4429","tragically","anypos","n","strongsubj","^tragically$"
"4433","traitorously","anypos","n","strongsubj","^traitorously$"
"4441","traumatic","anypos","n","strongsubj","^traumatic$"
"4442","traumatically","anypos","n","strongsubj","^traumatically$"
"4462","trivially","anypos","n","strongsubj","^trivially$"
"4464","trouble","anypos","y","strongsubj","^trouble$"
"4470","troublesome","anypos","n","strongsubj","^troublesome$"
"4471","troublesomely","anypos","n","strongsubj","^troublesomely$"
"4472","troubling","anypos","y","strongsubj","^troubling$"
"4473","troublingly","anypos","y","strongsubj","^troublingly$"
"4486","tyrannically","anypos","n","strongsubj","^tyrannically$"
"4489","ugh","anypos","y","strongsubj","^ugh$"
"4501","unacceptablely","anypos","n","strongsubj","^unacceptablely$"
"4510","unbelievable","anypos","n","strongsubj","^unbelievable$"
"4511","unbelievably","anypos","n","strongsubj","^unbelievably$"
"4522","uncompromisingly","anypos","n","strongsubj","^uncompromisingly$"
"4527","unconvincingly","anypos","n","strongsubj","^unconvincingly$"
"4550","uneasily","anypos","n","strongsubj","^uneasily$"
"4555","unequal","anypos","y","strongsubj","^unequal$"
"4560","unexpectedly","anypos","y","strongsubj","^unexpectedly$"
"4566","unfamiliar","anypos","n","weaksubj","^unfamiliar$"
"4567","unfavorable","anypos","n","strongsubj","^unfavorable$"
"4572","unfortunate","anypos","n","strongsubj","^unfortunate$"
"4573","unfortunately","anypos","y","strongsubj","^unfortunately$"
"4588","unimaginably","anypos","n","strongsubj","^unimaginably$"
"4596","unjustifiably","anypos","n","strongsubj","^unjustifiably$"
"4598","unjustly","anypos","y","strongsubj","^unjustly$"
"4601","unlamentable","anypos","n","strongsubj","^unlamentable$"
"4602","unlamentably","anypos","n","strongsubj","^unlamentably$"
"4609","unlikely","anypos","y","weaksubj","^unlikely$"
"4612","unnatural","anypos","n","weaksubj","^unnatural$"
"4613","unnaturally","anypos","y","strongsubj","^unnaturally$"
"4618","unnerving","anypos","n","strongsubj","^unnerving$"
"4619","unnervingly","anypos","n","strongsubj","^unnervingly$"
"4629","unprecedented","anypos","n","strongsubj","^unprecedented$"
"4640","unreasonable","anypos","y","weaksubj","^unreasonable$"
"4641","unreasonably","anypos","n","strongsubj","^unreasonably$"
"4643","unrelenting","anypos","y","strongsubj","^unrelenting$"
"4644","unrelentingly","anypos","n","strongsubj","^unrelentingly$"
"4655","unscrupulously","anypos","n","strongsubj","^unscrupulously$"
"4656","unseemly","anypos","y","strongsubj","^unseemly$"
"4659","unsettling","anypos","y","strongsubj","^unsettling$"
"4660","unsettlingly","anypos","n","strongsubj","^unsettlingly$"
"4680","unthinkably","anypos","n","strongsubj","^unthinkably$"
"4682","untrue","anypos","n","strongsubj","^untrue$"
"4685","unusual","anypos","n","weaksubj","^unusual$"
"4686","unusually","anypos","n","strongsubj","^unusually$"
"4689","unwelcome","anypos","n","strongsubj","^unwelcome$"
"4703","uproarious","anypos","n","strongsubj","^uproarious$"
"4704","uproariously","anypos","n","strongsubj","^uproariously$"
"4706","uproarously","anypos","n","strongsubj","^uproarously$"
"4711","upsetting","anypos","y","strongsubj","^upsetting$"
"4712","upsettingly","anypos","n","strongsubj","^upsettingly$"
"4722","utterly","anypos","n","strongsubj","^utterly$"
"4731","vehement","anypos","n","strongsubj","^vehement$"
"4732","vehemently","anypos","n","strongsubj","^vehemently$"
"4734","vengeful","anypos","n","strongsubj","^vengeful$"
"4735","vengefully","anypos","n","strongsubj","^vengefully$"
"4740","venomously","anypos","n","strongsubj","^venomously$"
"4747","vex","anypos","y","strongsubj","^vex$"
"4750","vexing","anypos","n","strongsubj","^vexing$"
"4751","vexingly","anypos","n","strongsubj","^vexingly$"
"4754","viciously","anypos","n","strongsubj","^viciously$"
"4761","villainous","anypos","n","strongsubj","^villainous$"
"4762","villainously","anypos","n","strongsubj","^villainously$"
"4767","villianously","anypos","n","strongsubj","^villianously$"
"4769","vindictive","anypos","n","strongsubj","^vindictive$"
"4770","vindictively","anypos","n","strongsubj","^vindictively$"
"4781","virulently","anypos","n","strongsubj","^virulently$"
"4786","vociferously","anypos","n","strongsubj","^vociferously$"
"4840","whatever","anypos","y","weaksubj","^whatever$"
"4843","whine","anypos","y","strongsubj","^whine$"
"4848","wickedly","anypos","n","strongsubj","^wickedly$"
"4862","woefully","anypos","n","strongsubj","^woefully$"
"4874","worrying","anypos","y","strongsubj","^worrying$"
"4875","worryingly","anypos","n","strongsubj","^worryingly$"
"4877","worsen","anypos","y","strongsubj","^worsen$"
"4878","worsening","anypos","y","strongsubj","^worsening$"
"4881","worthlessly","anypos","n","strongsubj","^worthlessly$"
"4896","wretchedly","anypos","n","strongsubj","^wretchedly$"
"4900","wrong","anypos","y","weaksubj","^wrong$"
"4902","wrongly","anypos","y","strongsubj","^wrongly$"
"4910","zealously","anypos","n","strongsubj","^zealously$"
